experiment,clone,cells,alleles,correct,detected,accuracy,recall
10x_invitro,1,3055,73320,72213,72330,99.8382413936126,98.64975450081833
10x_invitro,2,1646,93822,92400,92400,100.0,98.48436400844152
10x_invitro,3,1202,7212,7212,7212,100.0,100.0
10x_invitro,4,980,23520,22959,22971,99.94776021940707,97.6658163265306
merfish_invitro,1,3350,80400,62870,63231,99.42907750944948,78.6455223880597
merfish_invitro,2,808,48480,36045,36173,99.64614491471539,74.61427392739274
merfish_invitro,3,1798,10788,8319,8340,99.74820143884891,77.30812013348165
merfish_invitro,4,794,21438,16649,16786,99.18384367925653,78.30021457225487
merfish_invivo,1,10027,240648,116366,116739,99.68048381432084,48.51027226488481
merfish_invivo,2,6109,366540,168117,168792,99.60009953078345,46.050090031101654
merfish_invivo,4,45,1215,656,662,99.09365558912387,54.48559670781893
merfish_zombie,1,1376,33024,17607,18012,97.75149900066621,54.542151162790695
merfish_zombie,2,246,14760,6934,7163,96.80301549630043,48.52981029810298
merfish_zombie,3,986,5916,3693,3750,98.48,63.38742393509128
merfish_zombie,4,422,11394,5909,6004,98.41772151898735,52.69440056169914
